Date Registered,Date Watched,Onboarded,Paid,Student Country,Student Id,Minutes Watched
7/26/2022,9/1/2022,Yes,1,CA,282726,31.7
7/26/2022,9/12/2022,Yes,1,CA,282726,0.1
7/26/2022,8/9/2022,Yes,1,CA,282726,186.2
7/26/2022,10/6/2022,Yes,1,CA,282726,16.7
7/26/2022,9/22/2022,Yes,1,CA,282726,55
7/26/2022,7/26/2022,Yes,0,IN,282727,1.1
7/26/2022,7/27/2022,Yes,1,SE,282729,23.4
7/26/2022,8/4/2022,Yes,1,SE,282729,83.3
7/26/2022,7/26/2022,Yes,0,SE,282729,20.4
7/26/2022,7/30/2022,Yes,1,SE,282729,41.5
7/26/2022,7/31/2022,Yes,1,SE,282729,112.1
7/26/2022,8/5/2022,Yes,1,SE,282729,58.8
7/27/2022,7/27/2022,Yes,1,SG,282731,13.8
7/27/2022,7/27/2022,Yes,0,US,282733,4.6
7/27/2022,7/27/2022,Yes,0,US,282737,1.1
7/27/2022,7/28/2022,Yes,1,US,282738,77.7
7/27/2022,7/29/2022,Yes,1,US,282738,14.9
7/27/2022,8/26/2022,Yes,1,US,282738,25.3
7/27/2022,7/27/2022,Yes,1,US,282738,19.5
7/27/2022,9/30/2022,Yes,1,US,282739,153.4
7/27/2022,10/19/2022,Yes,1,US,282739,129.4
7/27/2022,10/11/2022,Yes,1,US,282739,81.6
7/27/2022,10/12/2022,Yes,1,US,282739,110.6
7/27/2022,7/30/2022,Yes,1,US,282739,135.8
7/27/2022,10/20/2022,Yes,1,US,282739,278.3
7/27/2022,7/31/2022,Yes,1,US,282739,12.1
7/27/2022,9/19/2022,Yes,1,US,282739,174.8
7/27/2022,10/7/2022,Yes,1,US,282739,104.3
7/27/2022,10/8/2022,Yes,1,US,282739,62.4
7/27/2022,10/10/2022,Yes,1,US,282739,201.8
7/27/2022,7/27/2022,Yes,1,US,282739,144.4
7/27/2022,10/15/2022,Yes,1,US,282739,295.1
7/27/2022,10/17/2022,Yes,1,US,282739,91
7/27/2022,10/16/2022,Yes,1,US,282739,66.1
7/27/2022,10/4/2022,Yes,1,US,282739,60.4
7/27/2022,10/6/2022,Yes,1,US,282739,213.7
7/27/2022,10/13/2022,Yes,1,US,282739,84.9
7/27/2022,9/20/2022,Yes,1,US,282739,56.8
7/27/2022,9/21/2022,Yes,1,US,282739,32.3
7/27/2022,9/22/2022,Yes,1,US,282739,22.3
7/27/2022,9/23/2022,Yes,1,US,282739,28.5
7/27/2022,9/24/2022,Yes,1,US,282739,19.6
7/27/2022,9/25/2022,Yes,1,US,282739,50.2
7/27/2022,9/26/2022,Yes,1,US,282739,177.1
7/27/2022,9/27/2022,Yes,1,US,282739,117.3
7/27/2022,10/1/2022,Yes,1,US,282739,65.7
7/27/2022,10/2/2022,Yes,1,US,282739,62.3
7/27/2022,7/28/2022,Yes,1,US,282739,143
7/27/2022,7/29/2022,Yes,1,US,282739,57.4
7/27/2022,8/1/2022,Yes,1,US,282739,65.1
7/27/2022,8/2/2022,Yes,1,US,282739,17.6
7/27/2022,8/3/2022,Yes,1,US,282739,11.6
7/27/2022,8/4/2022,Yes,1,US,282739,50
7/27/2022,10/14/2022,Yes,1,US,282739,180.4
7/27/2022,10/18/2022,Yes,1,US,282739,226.8
7/27/2022,10/3/2022,Yes,1,US,282739,60.3
7/27/2022,9/28/2022,Yes,1,US,282739,44.8
7/27/2022,9/29/2022,Yes,1,US,282739,8.8
7/27/2022,8/5/2022,Yes,1,US,282739,0.2
7/27/2022,8/30/2022,Yes,1,US,282739,0.8
7/27/2022,10/5/2022,Yes,1,US,282739,94.1
7/27/2022,10/9/2022,Yes,1,US,282739,60.9
7/27/2022,7/28/2022,Yes,1,UA,282741,10.6
7/27/2022,7/30/2022,Yes,1,UA,282741,53.4
7/27/2022,7/27/2022,Yes,1,UA,282741,7.6
7/27/2022,8/1/2022,Yes,1,UA,282741,35.4
7/27/2022,10/15/2022,Yes,1,UA,282741,0.1
7/27/2022,8/4/2022,Yes,1,UA,282741,0.4
7/27/2022,7/27/2022,Yes,0,IN,282744,10.9
7/27/2022,7/27/2022,Yes,0,CA,282745,1.2
7/27/2022,7/27/2022,Yes,0,IN,282746,0.1
7/27/2022,8/16/2022,Yes,0,MX,282747,1.1
7/27/2022,7/27/2022,Yes,0,MX,282747,0.2
7/27/2022,9/18/2022,Yes,1,US,282748,14.2
7/27/2022,9/16/2022,Yes,1,US,282748,28.8
7/27/2022,7/28/2022,Yes,0,US,282749,43.6
7/27/2022,7/27/2022,Yes,0,US,282750,1
7/27/2022,8/2/2022,Yes,1,CA,282751,62.8
7/27/2022,8/3/2022,Yes,1,CA,282751,92.3
7/27/2022,8/8/2022,Yes,1,CA,282751,144.4
7/27/2022,8/18/2022,Yes,1,CA,282751,19.1
7/27/2022,8/29/2022,Yes,1,CA,282751,13.2
7/27/2022,9/5/2022,Yes,1,CA,282751,10.4
7/27/2022,9/7/2022,Yes,1,CA,282751,21.2
7/27/2022,9/8/2022,Yes,1,CA,282751,28.5
7/27/2022,9/13/2022,Yes,1,CA,282751,14.5
7/27/2022,9/10/2022,Yes,1,CA,282751,2.2
7/27/2022,9/11/2022,Yes,1,CA,282751,4.1
7/27/2022,10/4/2022,Yes,1,CA,282751,9.3
7/27/2022,8/10/2022,Yes,1,CA,282751,39.9
7/27/2022,8/11/2022,Yes,1,CA,282751,57.7
7/27/2022,8/12/2022,Yes,1,CA,282751,11.7
7/27/2022,8/19/2022,Yes,1,CA,282751,8.6
7/27/2022,8/20/2022,Yes,1,CA,282751,0.2
7/27/2022,8/21/2022,Yes,1,CA,282751,0.1
7/27/2022,8/13/2022,Yes,1,CA,282751,23.5
7/27/2022,8/14/2022,Yes,1,CA,282751,16.8
7/27/2022,8/15/2022,Yes,1,CA,282751,24
7/27/2022,8/17/2022,Yes,1,CA,282751,48.7
7/27/2022,8/4/2022,Yes,1,CA,282751,56.7
7/27/2022,8/6/2022,Yes,1,CA,282751,29.3
7/27/2022,8/7/2022,Yes,1,CA,282751,82
7/27/2022,8/9/2022,Yes,1,CA,282751,23.1
7/27/2022,8/16/2022,Yes,1,CA,282751,77.3
7/27/2022,7/28/2022,Yes,1,DE,282753,10.5
7/27/2022,8/15/2022,Yes,0,GB,282755,4.6
7/27/2022,8/30/2022,Yes,0,GB,282755,0.1
7/27/2022,7/27/2022,Yes,1,GB,282757,62.6
7/27/2022,7/28/2022,Yes,1,GB,282757,62.4
7/27/2022,7/29/2022,Yes,1,GB,282757,27.4
7/27/2022,7/30/2022,Yes,1,GB,282757,35
7/27/2022,8/2/2022,Yes,1,GB,282757,36
7/27/2022,7/31/2022,Yes,1,GB,282757,17.5
7/27/2022,8/1/2022,Yes,1,GB,282757,27.8
7/27/2022,9/5/2022,Yes,1,GB,282757,75.6
7/27/2022,9/9/2022,Yes,1,GB,282757,98.3
7/27/2022,8/28/2022,Yes,1,US,282758,29.8
7/27/2022,9/22/2022,Yes,1,US,282758,29.5
7/27/2022,9/27/2022,Yes,1,US,282758,0.1
7/27/2022,9/30/2022,Yes,1,US,282758,6.8
7/27/2022,10/4/2022,Yes,1,US,282758,44.1
7/27/2022,10/1/2022,Yes,1,US,282758,2.3
7/27/2022,10/2/2022,Yes,1,US,282758,18.3
7/27/2022,10/3/2022,Yes,1,US,282758,22.9
7/27/2022,10/5/2022,Yes,1,US,282758,1
7/27/2022,10/7/2022,Yes,1,US,282758,30.1
7/27/2022,10/13/2022,Yes,1,US,282758,15
7/27/2022,10/17/2022,Yes,1,US,282758,37.9
7/27/2022,10/18/2022,Yes,1,US,282758,14.8
7/27/2022,10/19/2022,Yes,1,US,282758,14.3
7/27/2022,10/20/2022,Yes,1,US,282758,14.7
7/27/2022,8/1/2022,Yes,1,US,282758,13.6
7/27/2022,8/4/2022,Yes,1,US,282758,12.4
7/27/2022,8/9/2022,Yes,1,US,282758,32.5
7/27/2022,8/11/2022,Yes,1,US,282758,7.3
7/27/2022,8/15/2022,Yes,1,US,282758,20.4
7/27/2022,8/17/2022,Yes,1,US,282758,41.5
7/27/2022,8/24/2022,Yes,1,US,282758,54.5
7/27/2022,8/30/2022,Yes,1,US,282758,27.8
7/27/2022,8/31/2022,Yes,1,US,282758,43.4
7/27/2022,9/1/2022,Yes,1,US,282758,6.8
7/27/2022,9/2/2022,Yes,1,US,282758,34.3
7/27/2022,9/3/2022,Yes,1,US,282758,17.8
7/27/2022,9/5/2022,Yes,1,US,282758,21.6
7/27/2022,9/6/2022,Yes,1,US,282758,38
7/27/2022,9/16/2022,Yes,1,US,282758,24.5
7/27/2022,7/27/2022,Yes,0,IQ,282760,3.6
7/27/2022,7/27/2022,Yes,0,IN,282761,3.7
7/27/2022,7/27/2022,Yes,0,IN,282763,17.1
7/27/2022,8/29/2022,Yes,0,NG,282764,25
7/27/2022,9/10/2022,Yes,0,NG,282764,4
7/27/2022,9/16/2022,Yes,0,NG,282764,0.1
7/27/2022,7/27/2022,Yes,0,IN,282765,1.7
7/27/2022,7/27/2022,Yes,0,US,282771,1.5
7/27/2022,7/27/2022,Yes,0,GB,282774,26.1
7/27/2022,7/28/2022,Yes,0,GB,282774,20.8
7/27/2022,7/28/2022,Yes,1,NG,282776,15.3
